Area,Structural,Type,Unconnected_Height,Volume,Assembly_Code,Width,AcousticRating,FireRating
34.76046004,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4383,18.23330806,211,540,,
11.12541001,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-175-295,4383,6.007721404,211,540,,
32.03835,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,16.44668889,211,540,,
82.63659,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,43.44162481,211,540,,
42.49305,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,22.90051603,211,540,,
143.15637,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,77.04403127,211,540,,
69.79220001,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,37.55699669,211,540,,
92.86984499,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4133,49.5478458,211,540,,
87.3732,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4133,46.84713103,211,540,,
25.48890004,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,13.68950651,211,540,,
132.54435,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,71.17440633,211,540,,
19.05148254,0,222.009_Gipsskillevæg_145 mm,4533,2.762464968,224,145,54 dB,"EI 60 A2-s1,d0"
17.5482,0,222.009_Gipsskillevæg_145 mm,3060,2.496105,224,145,54 dB,"EI 60 A2-s1,d0"
23.13100001,1,KON_Væg Indervæg_Beton_200 mm,3983,4.626200003,221,200,,
18.54086504,0,222.001_Gipsskillevæg_145 mm,4533,2.68842543,224,145,48 dB,"EI 60 A2-s1,d0"
17.94368404,0,222.001_Gipsskillevæg_145 mm,4533,2.601834185,224,145,48 dB,"EI 60 A2-s1,d0"
17.94368404,0,222.001_Gipsskillevæg_145 mm,4533,2.601834185,224,145,48 dB,"EI 60 A2-s1,d0"
17.94368404,0,222.001_Gipsskillevæg_145 mm,4533,2.601834185,224,145,48 dB,"EI 60 A2-s1,d0"
17.94368404,0,222.001_Gipsskillevæg_145 mm,4533,2.601834185,224,145,48 dB,"EI 60 A2-s1,d0"
17.94368404,0,222.001_Gipsskillevæg_145 mm,4533,2.601834185,224,145,48 dB,"EI 60 A2-s1,d0"
17.94368404,0,222.001_Gipsskillevæg_145 mm,4533,2.601834185,224,145,48 dB,"EI 60 A2-s1,d0"
17.94368404,0,222.001_Gipsskillevæg_145 mm,4533,2.601834185,224,145,48 dB,"EI 60 A2-s1,d0"
18.54086504,0,222.009_Gipsskillevæg_145 mm,4533,2.68842543,224,145,54 dB,"EI 60 A2-s1,d0"
17.94368404,0,222.009_Gipsskillevæg_145 mm,4533,2.601834185,224,145,54 dB,"EI 60 A2-s1,d0"
17.94368404,0,222.009_Gipsskillevæg_145 mm,4533,2.601834185,224,145,54 dB,"EI 60 A2-s1,d0"
9.5592,1,KON_Væg Indervæg_Beton_200 mm,4533,1.91184,221,200,,
18.15987,1,KON_Væg Indervæg_Beton_200 mm,4533,3.631974,221,200,,
71.813475,1,KON_Væg Indervæg_Beton_200 mm,4533,14.362695,221,200,,
21.587575,0,222.001_Gipsskillevæg_145 mm,4533,3.130198375,224,145,48 dB,"EI 60 A2-s1,d0"
21.587575,0,222.104_Forsatsvæg_120 mm,4533,2.590509,224,120,34 dB,"EI 30 A2-s1,d0"
20.03847,0,222.001_Gipsskillevæg_145 mm,4533,2.90557815,224,145,48 dB,"EI 60 A2-s1,d0"
20.03847,0,222.001_Gipsskillevæg_145 mm,4533,2.90557815,224,145,48 dB,"EI 60 A2-s1,d0"
6.591865,0,222.112_Forsatsvæg_95 mm,3983,0.626227175,224,95,32 dB,"EI 30 A2-s1,d0"
17.58915,0,222.002_Gipsskillevæg_145 mm,3983,2.51457975,224,145,44 dB,"EI 60 A2-s1,d0"
14.557865,0,222.002_Gipsskillevæg_145 mm,4533,2.0775328,224,145,44 dB,"EI 60 A2-s1,d0"
18.819675,0,222.009_Gipsskillevæg_145 mm,4533,2.728852875,224,145,54 dB,"EI 60 A2-s1,d0"
53.70075,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,28.86513103,211,540,,
50.63714869,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,27.18256949,211,540,,
15.57353,0,222.009_Gipsskillevæg_145 mm,4533,2.25816185,224,145,54 dB,"EI 60 A2-s1,d0"
15.57353,0,222.009_Gipsskillevæg_145 mm,4533,2.25816185,224,145,54 dB,"EI 60 A2-s1,d0"
2.66861,0,222.103_Forsatsvæg_120 mm,4533,0.3202332,224,120,34 dB,"EI 30 A2-s1,d0"
13.98033,0,222.002_Gipsskillevæg_145 mm,4533,2.02714785,224,145,44 dB,"EI 60 A2-s1,d0"
30.46995004,0,222.001_Gipsskillevæg_145 mm,4533,4.418142755,224,145,48 dB,"EI 60 A2-s1,d0"
29.89241504,0,222.001_Gipsskillevæg_145 mm,4533,4.207641205,224,145,48 dB,"EI 60 A2-s1,d0"
29.89241504,0,222.001_Gipsskillevæg_145 mm,4533,4.33440018,224,145,48 dB,"EI 60 A2-s1,d0"
11.39138004,0,222.004_Gipsskillevæg Dobbelt_230 mm,4533,2.620017409,224,230,55 dB,"EI 60 A2-s1,d0"
19.536615,0,222.002_Gipsskillevæg_145 mm,3983,2.832809175,224,145,44 dB,"EI 60 A2-s1,d0"
18.274887,0,222.002_Gipsskillevæg_145 mm,3983,2.649858615,224,145,44 dB,"EI 60 A2-s1,d0"
19.536615,0,222.001_Gipsskillevæg_145 mm,3983,2.832809175,224,145,48 dB,"EI 60 A2-s1,d0"
