,FireRating,Area,Structural,Unconnected_Height,Volume,Width
797,3,0.16054147398664204,0.0,0.44472361809045224,0.24920872491877327,0.3592964824120603
3450,5,0.926001584090262,1.0,0.635678391959799,0.9417524296922517,0.9447236180904522
1883,3,0.16590057632678096,0.0,0.16080402010050251,0.27243088471204757,0.5778894472361809
3731,2,0.23746428064370112,0.0,0.27777804075043006,0.28694063038720824,0.31658291457286436
1589,5,0.4942628620511027,1.0,0.8115577889447236,0.6172251448138232,0.8542713567839196
328,3,0.6474194906720621,0.0,0.8115577889447236,0.6570911416723709,0.5778894472361809
660,3,0.7906537836185048,0.0,0.635678391959799,0.7887291865271879,0.5778894472361809
2148,3,0.9209015657218123,0.0,0.9623115577889447,0.8848642842077568,0.5778894472361809
655,3,0.8466635942343106,0.0,0.635678391959799,0.8294839227864355,0.5778894472361809
295,5,0.36361206063739127,0.0,0.28058712401367647,0.1557149047701162,0.09045226130653267
2111,3,0.362862192357903,0.0,0.1934673366834171,0.43486858817814106,0.5778894472361809
1499,3,0.37297988913868313,0.0,0.542713567839196,0.44136787433395763,0.5778894472361809
3531,3,0.5038156525460113,0.0,0.22110552763819097,0.5432882394035391,0.5778894472361809
1521,5,0.689607405890806,1.0,0.8115577889447236,0.7761725377395987,0.8542713567839196
3467,3,0.5054549901077177,0.0,0.11907707153557553,0.545042858402203,0.5778894472361809
2596,3,0.4624393150814459,0.0,0.4824120603015075,0.509884429571268,0.5778894472361809
1729,3,0.9101232289714045,0.0,0.542713567839196,0.8740639019770022,0.5778894472361809
3843,0,0.3466044480639062,0.0,0.1457286432160804,0.21076109493541254,0.12060301507537688
2909,3,0.5099504088118301,0.0,0.8115577889447236,0.5499066535222943,0.5778894472361809
179,3,0.7205632964091108,0.0,0.8115577889447236,0.7277728929597952,0.5778894472361809
639,3,0.04923406041226752,0.0,0.44472361809045224,0.13688370879391745,0.3592964824120603
3067,3,0.6917756973525694,0.0,0.3693467336683417,0.6972434905098768,0.5778894472361809
