Area,Base Constraint,Length,Structural Usage,Unconnected Height,Volume,Assembly Code,Width
11.2,3. sal,3000,0,4000,1.68,11,150
6.6,3. sal,1825,0,4000,0.99,11,150
11.2,2. sal,3000,0,4000,1.68,11,150
6.6,2. sal,1825,0,4000,0.99,11,150
11.2,4. sal,3000,0,4000,1.68,11,150
6.6,4. sal,1825,0,4000,0.99,11,150
13.16,5. sal,3000,0,4700,1.974,11,150
7.755,5. sal,1825,0,4700,1.16325,11,150
11.704,7. sal,3000,0,4180,1.7556,11,150
6.897,7. sal,1825,0,4180,1.03455,11,150
3.416656047,Kælder,1700.04027,1,3900,0.512498408,11,150
10.92,Kælder,3000,0,3900,1.638,11,150
6.435,Kælder,1972.5,0,3900,0.96525,11,150
11.2,1. sal,3000,0,4000,1.68,11,150
6.6,1. sal,1825,0,4000,0.99,11,150
17.92,Stuen,3000,0,6400,2.688,11,150
13.4652,Stuen,2317.5,0,5880,2.01978,11,150
32.4225,Kælder,10050,0,3300,4.863375,11,150
23.946,Kælder,9835,0,2900,3.5919,11,150
11.2,6. sal,3000,0,4000,1.68,11,150
6.6,6. sal,1825,0,4000,0.99,11,150
10.56,Stuen,1825,0,6400,1.584,11,150
21.5525,Kælder,6025,0,3700,3.232875,11,150
4.063134206,Stuen,1410.852673,0,2640,0.606348535,11,150
19.395,Kælder,6917.5,1,3300,3.879,11,200
21.516,Kælder,6917.5,1,3300,4.3032,11,200
22.8896,3. sal,6220,0,3680,4.57792,11,200
8.319,3. sal,3000,0,3480,1.6638,11,200
22.1536,3. sal,6220,0,3680,4.43072,11,200
11.76576,3. sal,3800,0,4000,2.353152,11,200
33.6486,3. sal,9820,0,3680,6.72972,11,200
7.25952,3. sal,3800,0,3480,1.451904,11,200
16.4312,3. sal,4565,0,3680,3.28624,11,200
19.3384,3. sal,5155,0,3680,3.86768,11,200
22.8896,4. sal,6220,0,3680,4.57792,11,200
8.319,4. sal,3000,0,3480,1.6638,11,200
22.1536,4. sal,6220,0,3680,4.43072,11,200
42.231,Stuen,6720,0,6600,8.4462,11,200
15.96,Stuen,3147.5,0,5700,3.192,11,200
20.7144,Stuen,3580,0,5480,4.14288,11,200
59.9742,Stuen,11990,0,5680,11.99484,11,200
18.852,Kælder,6917.5,1,3300,3.7704,11,200
29.6006,4. sal,8820,0,3680,5.92012,11,200
11.76576,2. sal,3800,0,4000,2.353152,11,200
33.6486,2. sal,9820,0,3680,6.72972,11,200
7.95552,2. sal,3800,0,3480,1.591104,11,200
24.7296,2. sal,6720,0,3680,4.94592,11,200
11.76576,4. sal,3800,0,4000,2.353152,11,200
33.6486,4. sal,9820,0,3680,6.72972,11,200
7.25952,4. sal,3800,0,3480,1.451904,11,200
16.4312,4. sal,4565,0,3680,3.28624,11,200
19.3384,4. sal,5155,0,3680,3.86768,11,200
14.28576,5. sal,3800,0,4700,2.857152,11,200
40.4526,5. sal,9820,0,4380,8.09052,11,200
9.77952,5. sal,3800,0,4180,1.955904,11,200
19.5567,5. sal,4565,0,4380,3.91134,11,200
23.0169,5. sal,5155,0,4380,4.60338,11,200
12.41376,7. sal,3800,0,4180,2.482752,11,200
39.5766,7. sal,9620,0,4380,7.91532,11,200
19.5567,7. sal,4565,0,4380,3.91134,11,200
21.59805,7. sal,5155,0,4110,4.31961,11,200
8.791519999,Kælder,4047.5,1,3700,1.758304,11,200
12.333,Kælder,4530,1,3300,2.4666,11,200
16.962,Kælder,5240,1,3300,3.3924,11,200
8.319,2. sal,3000,0,3480,1.6638,11,200
23.9936,2. sal,6720,0,3680,4.79872,11,200
12.4936,5. sal,3320,0,3880,2.49872,11,200
30.3546,5. sal,8170,0,3880,6.07092,11,200
23.3576,5. sal,6220,0,3880,4.67152,11,200
24.7296,1. sal,6720,0,3680,4.94592,11,200
8.319,1. sal,3000,0,3480,1.6638,11,200
23.9936,1. sal,6720,0,3680,4.79872,11,200
38.1696,Stuen,6720,0,5680,7.63392,11,200
16.44,Stuen,3000,0,5480,3.288,11,200
37.0336,Stuen,6720,0,5680,7.40672,11,200
11.76576,1. sal,3800,0,4000,2.353152,11,200
33.6486,1. sal,9820,0,3680,6.72972,11,200
7.25952,1. sal,3800,0,3480,1.451904,11,200
15.5382,1. sal,4565,0,3480,3.10764,11,200
18.2874,1. sal,5255,0,3480,3.65748,11,200
23.38558122,1. sal,6719.994418,0,3480,4.677116115,11,200
26.18400065,1. sal,6720,0,4000,5.2368,11,200
22.8896,2. sal,6220,0,3680,4.57792,11,200
22.1536,2. sal,6220,0,3680,4.43072,11,200
22.8896,1. sal,6220,0,3680,4.57792,11,200
22.1536,1. sal,6220,0,3680,4.43072,11,200
18.5416,Stuen,6220,1,3080,3.70832,11,200
15.864,Stuen,3000,0,5480,3.1728,11,200
20.153,Kælder,6270,1,3700,4.0306,11,200
11.729,Kælder,3317.5,1,3700,2.3458,11,200
9.512004117,6. sal,3000,0,3170.668039,1.902400823,11,200
17.01,6. sal,3680,0,4500,3.402,11,200
8.46516,6. sal,3170,0,4500,1.693032,11,200
19.3154,6. sal,7720,0,2470,3.86308,11,200
24.1336,5. sal,6220,0,3880,4.82672,11,200
8.919,5. sal,3000,0,3680,1.7838,11,200
22.1536,5. sal,6220,0,3680,4.43072,11,200
12.506,Kælder,3580,1,3700,2.5012,11,200
8.73116,Kælder,3317.5,0,4300,1.746232,11,200
23.04,Stuen,3800,0,6400,4.608,11,200
56.8,Stuen,10100,0,5680,11.36,11,200
44.07128852,Stuen,6777.467957,0,6600,8.814257703,11,200
60.564,Stuen,10300,0,5880,12.1128,11,200
37.761,Stuen,5975,0,6140,7.5522,11,200
59.62569479,Stuen,11847.82466,0,5480,11.91361953,11,200
60.8433796,Stuen,11192.8469,0,5480,12.1571565,11,200
145.698348,Stuen,27494.59815,0,5460,29.13966959,11,200
1.649684256,Stuen,491.0776774,0,5480,0.318417427,11,200
217.48005,Stuen,39632.5,0,5700,43.33161,11,200
13.3488,Stuen,4287.5,1,2880,2.66976,11,200
22.003,Kælder,6917.5,1,3700,4.4006,11,200
7.623,3. sal,3000,0,3480,1.5246,11,200
15.40071678,Kælder,8401.54027,1,2900,3.080143357,11,200
2.576,3. sal,500,0,3680,0.5152,11,200
22.168,Kælder,6670,1,3400,4.4336,11,200
18.701,Kælder,7155,0,2900,3.7402,11,200
23.82916711,Kælder,7470.95973,1,3300,4.765833422,11,200
20.2855,Kælder,7195,0,2900,4.0571,11,200
26.39357529,Stuen,5122.625705,0,4400,5.106005293,11,200
16.02043709,Stuen,3665.016306,0,4400,3.031377694,11,200
28.723,Kælder,8870,1,3700,5.7446,11,200
13.1544,3. sal,3580,0,3480,2.63088,11,200
3.90892,3. sal,2210,0,3680,0.781784,11,200
12.4584,3. sal,3580,0,3480,2.49168,11,200
10.9296,3. sal,3170,0,3680,2.18592,11,200
2.52764,3. sal,960,0,3480,0.505528,11,200
12.4584,1. sal,3580,0,3480,2.49168,11,200
6.13176,1. sal,3170,0,3480,1.226352,11,200
11.7624,1. sal,3580,0,3480,2.35248,11,200
12.4016,1. sal,3270,0,3680,2.48032,11,200
13.1544,2. sal,3580,0,3480,2.63088,11,200
3.90892,2. sal,2210,0,3680,0.781784,11,200
12.4584,2. sal,3580,0,3480,2.49168,11,200
10.9296,2. sal,3170,0,3680,2.18592,11,200
2.52764,2. sal,960,0,3480,0.505528,11,200
14.529,Kælder,4700,1,3700,2.9058,11,200
18.5224,Stuen,3580,0,5480,3.70448,11,200
9.06672,Stuen,3170,0,6000,1.813344,11,200
13.1744,4. sal,3580,0,3680,2.63488,11,200
3.90892,4. sal,2210,0,3680,0.781784,11,200
11.7624,4. sal,3580,0,3480,2.35248,11,200
12.4016,4. sal,3170,0,3680,2.48032,11,200
2.52764,4. sal,960,0,3480,0.505528,11,200
17.542,5. sal,3580,0,4900,3.5084,11,200
4.33092,5. sal,2210,0,3880,0.866184,11,200
15.886,5. sal,3580,0,4700,3.1772,11,200
13.0756,5. sal,3170,0,3880,2.61512,11,200
2.73964,5. sal,960,0,3680,0.547928,11,200
7.58,Mezzanin,4287.5,1,2600,1.516,11,200
15.652,Mezzanin,6220,1,2600,3.1304,11,200
37.281,Kælder,12187.5,0,3700,7.4562,11,200
39.51429208,Kælder,12438.92429,0,3300,7.931929736,11,200
4.221,Kælder,2340,1,3300,0.8442,11,200
20.6816,4. sal,5820,0,3680,4.13632,11,200
16.4256,4. sal,4720,0,3480,3.28512,11,200
11.136,4. sal,3000,0,3480,2.2272,11,200
16.6336,4. sal,4720,0,3680,3.32672,11,200
18.3136,5. sal,4720,0,3880,3.66272,11,200
11.64,5. sal,3000,0,3880,2.328,11,200
35.344,5. sal,7720,0,4700,7.0688,11,200
9.519,5. sal,3040,0,3880,1.9038,11,200
13.365,6. sal,3170,0,4500,2.673,11,200
6.897004117,6. sal,3000,0,3170.668039,1.379400823,11,200
11.76576,6. sal,3800,0,4000,2.353152,11,200
